Date,Place,Suburb,Arrival time,Departure time,Type
Saturday 19 June 2021,"Cotton on, DFO Brisbane (Airport) 18th Avenue",Brisbane Airport,4.10pm,4.30pm,Close contacts
Saturday 19 June 2021,Brisbane Portuguese Family CentreUnit 3/1449 Boundary Road,Ellen Grove,7pm,Close,Close contacts
Tuesday 22 June 2021,McDonald's Glass House Mountains 4288 Bruce Highway,Coochin Creek,5.45am,6am,Close contacts
Tuesday 22 June 2021,"Good Life Gym Fortitude Valley Homemaker The Valley NorthMontpelier Road &, Wickham Street",Fortitude Valley,7.30am,9.45am,Close contacts
Tuesday 22 June 2021,Miracle Worker massage & Holistic Therapies 79 Russell Street,West End,9.30am,5pm,Close contacts
Tuesday 22 June 2021,Anytime Fitness Hamilton 2 Harbour Road,Hamilton,4.15pm,5.15pm,Close contacts
Tuesday 22 June 2021,Coles Indooroopilly Shopping Centre 322 Moggill Road,Indooroopilly,6pm,6.45pm,Close contacts
Tuesday 22 June 2021,Domino's Pizza - Sunshine Homemaker Centre 100 Maroochydore Road,Maroochydore,9.35pm,9.40pm,Close contacts
Wednesday 23 June 2021,McDonald's Glass House Mountains 4288 Bruce Highway,Coochin Creek,6am,6.15am,Close contacts
Wednesday 23 June 2021,Miracle Worker massage & Holistic Therapies 79 Russell Street,West End,10am,5pm,Close contacts
Wednesday 23 June 2021,Anytime Fitness Hamilton 2 Harbour Road,Hamilton,4pm,5.30pm,Close contacts
Wednesday 23 June 2021,Goodlife Health Clubs West End - West Village 35 Mollison Street,West End,5.15pm,7.15pm,Close contacts
Thursday 24 June 2021,Ampol Petrol Station 132a East-West Arterial Road,Hendra,6.55am,7.15am,Close contacts
Thursday 24 June 2021,"Zarraffas Coffee Hendra 538 Nudgee Road or, 100 East-West Arterial Road",Hendra,6.55am,7.15am,Close contacts
Thursday 24 June 2021,Hendra Post Office 355 Nudgee Road,Hendra,7.10am,7.30am,Close contacts
Thursday 24 June 2021,Miracle Worker massage & Holistic Therapies 79 Russell Street,West End,12.15pm,5.30pm,Close contacts
Thursday 24 June 2021,Guzman y GomezShop 1/18 Stamford Road,Indooroopilly,7.45pm,8pm,Close contacts
Friday 25 June 2021,Chez Nous Cafe 160 Roma Street,Brisbane City,8.15am,8.30am,Close contacts
Friday 25 June 2021,Market Organics 10/620 Moggill Road,Chapel Hill,9.10am,9.45am,Close contacts
Friday 25 June 2021,"Commonwealth Bank of Australia, Indooroopilly Shopping Centre 322 Moggill Road",Indooroopilly,9.55am,10.25am,Close contacts
